ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress	SSTVname	Label	MinWQO_CAR9	MCL_Primary	MCL_Secondary
Total	PCB 097	ng/g dw	PCB097_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 097 (ng/g dry weight)			
Total	PCB 097	ug/L	PCB097_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 097 (ug/L)			
Total	PCB 099	ng/g dw	PCB099_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 099 (ng/g dry weight)			
Total	PCB 099	ug/L	PCB099_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 099 (ug/L)			
Total	PCB 101	ng/g dw	PCB101_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 101 (ng/g dry weight)			
Total	PCB 101	ug/L	PCB101_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 101 (ug/L)			
Total	PCB 105	ng/g dw	PCB105_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 105 (ng/g dry weight)			
Total	PCB 105	ug/L	PCB105_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 105 (ug/L)			
Total	PCB 110/151	ug/L	PCB110_151_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 110/151 (ug/L)			
Total	PCB 110	ng/g dw	PCB110_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 110 (ng/g dry weight)			
Total	PCB 110	ug/L	PCB110_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 110 (ug/L)			
Total	PCB 114	ng/g dw	PCB114_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 114 (ng/g dry weight)			
Total	PCB 114	ug/L	PCB114_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 114 (ug/L)			
Total	PCB 118	ng/g dw	PCB118_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 118 (ng/g dry weight)			
Total	PCB 118	ug/L	PCB118_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 118 (ug/L)			
Total	PCB 126	ng/g dw	PCB126_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 126 (ng/g dry weight)			
Total	PCB 126	ug/L	PCB126_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 126 (ug/L)			
Total	PCB 128	ng/g dw	PCB128_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 128 (ng/g dry weight)			
Total	PCB 128	ug/L	PCB128_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 128 (ug/L)			
Total	PCB 137	ng/g dw	PCB137_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 137 (ng/g dry weight)			
Total	PCB 137	ug/L	PCB137_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 137 (ug/L)			
Total	PCB 138/158	ng/g dw	PCB138_158_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 138/158 (ng/g dry weight)			
Total	PCB 138	ug/L	PCB138_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 138 (ug/L)			
Total	PCB 141	ng/g dw	PCB141_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 141 (ng/g dry weight)			
Total	PCB 141	ug/L	PCB141_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 141 (ug/L)			
Total	PCB 146	ng/g dw	PCB146_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 146 (ng/g dry weight)			
Total	PCB 149	ng/g dw	PCB149_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 149 (ng/g dry weight)			
Total	PCB 149	ug/L	PCB149_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 149 (ug/L)			
Total	PCB 151	ng/g dw	PCB151_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 151 (ng/g dry weight)			
Total	PCB 151	ug/L	PCB151_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 151 (ug/L)			
Total	PCB 153	ng/g dw	PCB153_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 153 (ng/g dry weight)			
Total	PCB 153	ug/L	PCB153_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 153 (ug/L)			
Total	PCB 156	ng/g dw	PCB156_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 156 (ng/g dry weight)			
Total	PCB 156	ug/L	PCB156_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 156 (ug/L)			
Total	PCB 157	ng/g dw	PCB157_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 157 (ng/g dry weight)			
Total	PCB 157	ug/L	PCB157_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 157 (ug/L)			
Total	PCB 158	ug/L	PCB158_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 158 (ug/L)			
Total	PCB 169	ng/g dw	PCB169_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 169 (ng/g dry weight)			
Total	PCB 170	ng/g dw	PCB170_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 170 (ng/g dry weight)			
Total	PCB 170	ug/L	PCB170_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 170 (ug/L)			
Total	PCB 174	ng/g dw	PCB174_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 174 (ng/g dry weight)			
Total	PCB 174	ug/L	PCB174_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 174 (ug/L)			
Total	PCB 177	ng/g dw	PCB177_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 177 (ng/g dry weight)			
Total	PCB 177	ug/L	PCB177_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 177 (ug/L)			
Total	PCB 180	ng/g dw	PCB180_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 180 (ng/g dry weight)			
Total	PCB 180	ug/L	PCB180_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 180 (ug/L)			
Total	PCB 183	ug/L	PCB183_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 183 (ug/L)			
Total	PCB 187	ng/g dw	PCB187_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 187 (ng/g dry weight)			
Total	PCB 187	ug/L	PCB187_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 187 (ug/L)			
Total	PCB 189	ng/g dw	PCB189_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 189 (ng/g dry weight)			
Total	PCB 189	ug/L	PCB189_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 189 (ug/L)			
Total	PCB 194	ng/g dw	PCB194_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 194 (ng/g dry weight)			
Total	PCB 194	ug/L	PCB194_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 194 (ug/L)			
Total	PCB 195	ng/g dw	PCB195_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 195 (ng/g dry weight)			
Total	PCB 195	ug/L	PCB195_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 195 (ug/L)			
Total	PCB 198	ng/g dw	PCB198_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 198 (ng/g dry weight)			
Total	PCB 199	ng/g dw	PCB199_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 199 (ng/g dry weight)			
Total	PCB 200	ng/g dw	PCB200_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 200 (ng/g dry weight)			
Total	PCB 200	ug/L	PCB200_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 200 (ug/L)			
Total	PCB 201	ng/g dw	PCB201_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 201 (ng/g dry weight)			
Total	PCB 201	ug/L	PCB201_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 201 (ug/L)			
Total	PCB 203	ng/g dw	PCB203_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 203 (ng/g dry weight)			
Total	PCB 203	ug/L	PCB203_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 203 (ug/L)			
Total	PCB 206	ng/g dw	PCB206_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 206 (ng/g dry weight)			
Total	PCB 206	ug/L	PCB206_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 206 (ug/L)			
Total	PCB 209	ng/g dw	PCB209_ng_g_dw	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 209 (ng/g dry weight)			
Total	PCB 209	ug/L	PCB209_ug_L	12	PCBs	1	0	0	NA	NA	NA	NA	1	Inc		PCB 209 (ug/L)			
Total	Nitrate as N	mg/L	NO3_N_uf_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Total nitrate as N (mg/L)		10	
Dissolved	Nitrate + Nitrite as N	mg/L	NO3NO2_N_f_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved nitrate and nitrite as N (mg/L)		10	
Not Recorded	Nitrate + Nitrite as N	mg/L	NO3NO2_N_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Nitrate and nitrite as N (mg/L)		10	
Total	Nitrate + Nitrite as N	mg/L	NO3NO2_N_uf_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Total nitrate and nitrite as N (mg/L)		10	
Field_None	"Oxygen, Saturation"	%	O2sat_fld_pct	17	Water quality	0	0	0	NA	NA	NA	NA	0	Dec		Field-measured oxygen saturation (%)			
Field_Total	"Oxygen, Saturation"	%	O2sat_fld_pct	17	Water quality	0	0	0	NA	NA	NA	NA	0	Dec		Field-measured oxygen saturation (%)			
Total	Phosphorus as P	mg/L	P_uf_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Total phosphorus as P (mg/L)	0.05		
Total	"Permethrin, cis-"	ng/g dw	Permethrin_cis_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total cis-permethrin (ng/g dry weight)			
Total	"Permethrin, cis-"	ug/L	Permethrin_cis_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total cis-permethrin (ug/L)			
Total	"Permethrin, Total"	ug/L	Permethrin_Total_ug_L	13	Pyrethroids	1	1	0	NA	NA	NA	NA	1	Inc		Total permethrin (ug/L)			
Total	"Permethrin, trans-"	ng/g dw	Permethrin_trans_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total trans-permethrin (ng/g dry weight)			
Total	"Permethrin, trans-"	ug/L	Permethrin_trans_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total trans-permethrin (ug/L)			
Field_None	pH	none	pH_fld_SU	17	Water quality	0	0	0	NA	NA	NA	NA	1	Dec		Field-measured pH (SU)			
None	pH	none	pH_SU	17	Water quality	0	0	0	NA	NA	NA	NA	1	Dec		pH (SU)			
Particulate	Pheophytin a	ug/L	Pheophytin_a_particulate_ug_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Particulate pheophytin a (ug/L)			
Dissolved	OrthoPhosphate as P	mg/L	PO4_P_f_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved orthophosphate as P (mg/L)			
Dissolved	Potassium	mg/L	Potassium_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved potassium (mg/L)			
Total	Potassium	mg/L	Potassium_uf_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc		Total potassium (mg/L)			
Total	Pyrethrin-1	ng/g dw	Pyrethrin_1_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total pyrethrin-1 (ng/g dry weight)			
Total	Pyrethrin-2	ng/g dw	Pyrethrin_2_ng_g_dw	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total pyrethrin-2 (ng/g dry weight)			
Total	Pyrethrin-1	ug/L	Pyrethrin1_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total pyrethrin-1 (ug/L)			
Total	Pyrethrin-2	ug/L	Pyrethrin2_ug_L	13	Pyrethroids	1	0	0	NA	NA	NA	NA	1	Inc		Total pyrethrin-2 (ug/L)			
Field_None	Salinity	ppt	Salinity_fld_ppt	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Field-measured salinity (ppt)			
Field_Total	Salinity	ppt	Salinity_fld_ppt	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Field-measured salinity (ppt)			
Dissolved	Selenium	ug/L	Selenium_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Dissolved selenium (ug/L)		0.05	
Total	Selenium	ug/L	Selenium_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Total selenium (ug/L)		0.05	
Field_Total	Silica	mg/L	Silica_fld_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	0	Inc		Field-measured total silica (mg/L)			
Dissolved	Silica as SiO2	mg/L	Silica_SiO2_f_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved silica as SiO2 (mg/L)			
Field_Total	Silica as SiO2	mg/L	Silica_SiO2_fld_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	0	Inc		Field-measured total silica as SiO2 (mg/L)			
Total	Silica as SiO2	mg/L	Silica_SiO2_uf_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Total silica as SiO2 (mg/L)			
Dissolved	Silver	ug/L	Silver_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved silver (ug/L)			100
Total	Silver	mg/kg dw	Silver_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total silver (mg/kg dry weight)			
Total	Silver	ug/L	Silver_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total silver (ug/L)			100
Dissolved	Sodium	mg/L	Sodium_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved sodium (mg/L)	0.006		
<0.0039 mm	Clay	%	Clay_LT0_0039mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc		"Clay, less than 0.0039 mm (%)"			
<0.005 mm	Clay	%	Clay_LT0_005mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc		"Clay, less than 0.005 mm (%)"			
4.75 to <75 mm	Gravel	%	Gravel_4_75_LT75mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Dec		"Gravel, 4.75 to less than 75 mm (%)"			
Total	Moisture	%	MoistureTotal_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	0			Total moisture (%)			
0.0625 to <2.0 mm	Sand	%	Sand_0_0625_LT2mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc		"Sand, 0.0625 to less than 2 mm (%)"			
Coarse 2.0 to <4.75 mm	Sand	%	SandCoarse_2_LT4_75mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc		"Coarse sand, 2 to less than 4.75 mm (%)"			
Fine 0.075 to <0.425 mm	Sand	%	SandFine_0_075_LT0_425mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc		"Fine sand, 0.075 to less than 0.425 mm (%)"			
Medium 0.425 to <2.0 mm	Sand	%	SandMed_0_425_LT2mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc		"Medium sand, 0.425 to less than 2 mm (%)"			
0.0039 to <0.0625 mm	Silt	%	Silt_0_0039_LT0_0625mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc		"Silt, 0.0039 to less than 0.0625 mm (%)"			
0.005 to <0.075 mm	Silt	%	Silt_0_005_LT0_075mm_pct	14	Sediment general	0	0	0	NA	NA	NA	NA	1	Inc		"Silt, 0.005 to less than 0.075 mm (%)"			
Total	Terphenyl-d14(Surrogate)	ug/L	Terphenyl_d14_surrogate_ug_L	15	Surrogate	1	0	0	NA	NA	NA	NA	0			Terphenyl-d14 (ug/L)			
Total	Anatoxin-A	ug/L	Anatoxin_A_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Anatoxin-a (ug/L)			
Total	Desmethyl-LR	ug/L	Desmethyl_LR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Desmethyl microcystin LR (ug/L)			
Total	Desmethyl-RR	ug/L	Desmethyl_RR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Desmethyl microcystin RR (ug/L)			
Total	Domoic Acid	ug/L	Domoic_Acid_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Domoic acid (ug/L)			
Total	Microcystin-LA	ug/L	Microcystin_LA_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Microcystin LA (ug/L)			
Total	Microcystin-LF	ug/L	Microcystin_LF_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Microcystin LF (ug/L)			
Total	Microcystin-LR	ug/L	Microcystin_LR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Microcystin LR (ug/L)			
Total	Microcystin-LW	ug/L	Microcystin_LW_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Microcystin LW (ug/L)			
Total	Microcystin-LY	ug/L	Microcystin_LY_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Microcystin LY (ug/L)			
Total	Microcystin-RR	ug/L	Microcystin_RR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Microcystin RR (ug/L)			
Total	Microcystin-YR	ug/L	Microcystin_YR_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Microsystin YR (ug/L)			
Total	Nodularin	ug/L	Nodularin_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Nodularin (ug/L)			
Total	Okadaic Acid	ug/L	Okadaic_Acid_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Okadaic acid (most protoble number)			
Particulate	"Microcystins, Total"	ug/L	TotalMicrocystins_particulate_ug_L	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Total particulate microcystins (ug/L)			
Particulate	"Microcystins, Total"	ug/m2	TotalMicrocystins_particulate_ug_m2	16	Toxins	1	0	0	NA	NA	NA	NA	1	Inc		Total particulate microcystins (ug/m2)			
Total	Sodium	mg/L	Sodium_uf_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc		Total sodium (mg/L)	0.006		
Field_None	SpecificConductivity	uS/cm	SpecificConductivity_fld_uS_cm	17	Water quality	1	0	1	1	2	5	6	1	Inc	SpecCondTolVal	Field-measured specific conductivity (uS/cm)			
Field_Total	SpecificConductivity	uS/cm	SpecificConductivity_fld_uS_cm	17	Water quality	1	0	1	1	2	5	6	1	Inc	SpecCondTolVal	Field-measured specific conductivity (uS/cm)			
Field_Total	SpecificConductivity	uS/cm	SpecificConductivity_fld_uS_cm	17	Water quality	1	0	1	1	2	5	6	1	Inc	SpecCondTolVal	Field-measured specific conductivity (uS/cm)			
Total	SpecificConductivity	uS/cm	SpecificConductivity_uS_cm	17	Water quality	1	0	1	1	2	5	6	1	Inc	SpecCondTolVal	Specific conductivity (uS/cm)			
Dissolved	Strontium	ug/L	Strontium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved strontium (ug/L)			
Total	Strontium	ug/L	Strontium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total strontium (ug/L)			
Dissolved	Sulfate	mg/L	Sulfate_f_mg_L	5	Ions	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved sulfate (mg/L)	65		
Particulate	Suspended Sediment Concentration	mg/L	SuspendedSediment_particulate_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Suspended particulates (mg/L)			
Dissolved	Total Dissolved Solids	mg/L	TDS_f_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Total dissolved solids (mg/L)	300		
Dissolved	Thallium	ug/L	Thallium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved thallium (ug/L)		0.002	
Total	Thallium	ug/L	Thallium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total thallium (ug/L)		0.002	
Dissolved	Tin	ug/L	Tin_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved tin (ug/L)			
Total	Tin	ug/L	Tin_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total tin (ug/L)			
Dissolved	Titanium	ug/L	Titanium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved titanium (ug/L)			
Total	Titanium	ug/L	Titanium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total titanium (ug/L)			
Total	"Nitrogen, Total Kjeldahl"	mg/L	TKN_uf_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Total Kjeldahl nitrogen (mg/L)			
Not Recorded	"Nitrogen, Total"	mg/L	TN_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Total nitrogen (mg/L)			
Total	"Nitrogen, Total"	mg/L	TN_uf_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Total nitrogen (mg/L)			
Total	Total Organic Carbon	% dw	TOC_pct_dw	7	Nutrients	0	0	0	NA	NA	NA	NA	1	Inc		Total organic carbon (percent dry weight)			
Total	Total Organic Carbon	mg/L	TOC_uf_mg_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc		Total organic carbon (mg/L)			
Field_None	TransectsSampled	count	Transects_count	17	Water quality	0	0	0	NA	NA	NA	NA	0			Number of transects sampled (count)			
Particulate	Total Suspended Solids	mg/L	TSS_particulate_mg_L	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Total suspended solids (mg/L)			
Field_None	Turbidity	NTU	Turbidity_fld_NTU	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Field-measured turbidity (NTU)	20		5
Field_Total	Turbidity	NTU	Turbidity_fld_NTU	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Field-measured turbidity (NTU)	20		5
Total	Turbidity	NTU	Turbidity_NTU	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Turbidity (NTU)	20		5
Dissolved	Vanadium	ug/L	Vanadium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Dissolved vanadium (ug/L)			
Total	Vanadium	ug/L	Vanadium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total vanadium (ug/L)			
Field_None	Velocity	ft/s	Velocity_fld_ft_s	17	Water quality	1	0	0	NA	NA	NA	NA	1	Inc		Field-measured velocity (ft/s)			
Field_None	Temperature	°C	WaterTemp_fld_degC	17	Water quality	0	0	0	NA	NA	NA	NA	1	Inc		Field-measured water temperature (degrees C)			
Field_None	Temperature	Deg C	WaterTemp_fld_degC	17	Water quality	0	0	0	NA	NA	NA	NA	1	Inc		Field-measured water temperature (degrees C)			
Dissolved	Zinc	ug/L	Zinc_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Dissolved zinc (ug/L)			5000
Total	Zinc	mg/kg dw	Zinc_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc		Total zinc (mg/kg dry weight)			
Total	Zinc	ug/L	Zinc_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc		Total zinc (ug/L)			5000
